id,en,it
DEFAULT.ABOUT,About,Informazioni
DEFAULT.CURRENT_UPDATE_RELEASE_DATE,"Current system version release date:
{year}/{month}/{day}","Data di rilascio della versione attuale del sistema:
{day}/{month}/{year}"
DEFAULT.FOLDER_LAUNCHER,Launcher,Launcher
DEFAULT.FOLDER_SYSTEM,System,Sistema
DEFAULT.ICONS,Icons,Icone
DEFAULT.KEYBOARD,Keyboard,Tastiera
DEFAULT.KEYBOARD_APP,Keyboard App,App Tastiera
DEFAULT.LANGUAGE,Language,Lingua
DEFAULT.LAUNCHER_APP,Launcher App,App Launcher
DEFAULT.POWER_MODE,Power Mode,Consumo Energetico
DEFAULT.POWER_MODE_ALWAYS_ON,Always On,Sempre Acceso
DEFAULT.POWER_MODE_BALANCED,Balanced,Bilanciato
DEFAULT.POWER_MODE_POWER_SAVING,Power Saving,Risparmio Energetico
DEFAULT.PROMPT_ADJUST,Adjust,Regola
DEFAULT.PROMPT_BACK,Back,Indietro
DEFAULT.PROMPT_BACKSPACE,Backsp.,Backsp.
DEFAULT.PROMPT_CASE,aA,aA
DEFAULT.PROMPT_CHARACTERS,Char.,Carat.
DEFAULT.PROMPT_CHECK_UPDATES,Check Updates,Controlla Aggiornamenti
DEFAULT.PROMPT_CONFIRM,Confirm,Conferma
DEFAULT.PROMPT_DONE,Done,Fatto
DEFAULT.PROMPT_ENTER,Enter,Invio
DEFAULT.PROMPT_EXIT,Exit,Esci
DEFAULT.PROMPT_INFO,Info,Info
DEFAULT.PROMPT_NAVIGATION,Nav.,Nav.
DEFAULT.PROMPT_OPEN,Open,Apri
DEFAULT.PROMPT_SCAN,Scan,Scansiona
DEFAULT.PROMPT_SELECT,Select,Selez.
DEFAULT.PROMPT_SYMBOLS,Symb.,Simb.
DEFAULT.RELOADING_FAILED,Reloading failed!,Ricaricamento fallito!
DEFAULT.RELOAD_ON_EXIT,Exit to reload the launcher and apply pending changes,Esci per riavviare il launcher e applicare le modifiche
DEFAULT.RUNNING_APP,Running App,App Esecuzione
DEFAULT.SETTINGS,Settings,Impostazioni
DEFAULT.SETTINGS_APP,Settings App,App Impostazioni
DEFAULT.STATUS,Status,Status
DEFAULT.SWITCH_LAUNCHER,Switch Launcher,Cambia Launcher
DEFAULT.SYSTEM_UP_TO_DATE,The system is up to date!,Il sistema è aggiornato!
DEFAULT.SYSTEM_VERSION,System version: {0},Versione del sistema: {0}
DEFAULT.THEME,Theme,Tema
DEFAULT.TIME_APRIL,April,Aprile
DEFAULT.TIME_AUGUST,August,Agosto
DEFAULT.TIME_DATE,"{weekday}, {day} {month} {year}",{weekday} {day} {month} {year}
DEFAULT.TIME_DECEMBER,December,Dicembre
DEFAULT.TIME_FEBRUARY,February,Febbraio
DEFAULT.TIME_FRIDAY,Friday,Venerdì
DEFAULT.TIME_JANUARY,January,Gennaio
DEFAULT.TIME_JULY,July,Luglio
DEFAULT.TIME_JUNE,June,Giugno
DEFAULT.TIME_MARCH,March,Marzo
DEFAULT.TIME_MAY,May,Maggio
DEFAULT.TIME_MONDAY,Monday,Lunedì
DEFAULT.TIME_NOVEMBER,November,Novembre
DEFAULT.TIME_OCTOBER,October,Ottobre
DEFAULT.TIME_SATURDAY,Saturday,Sabato
DEFAULT.TIME_SEPTEMBER,September,Settembre
DEFAULT.TIME_SUNDAY,Sunday,Domenica
DEFAULT.TIME_THURSDAY,Thursday,Giovedì
DEFAULT.TIME_TUESDAY,Tuesday,Martedì
DEFAULT.TIME_WEDNESDAY,Wednesday,Mercoledì
DEFAULT.UPDATE,Update,Aggiorna
DEFAULT.UPDATE_AVAILABLE,Update available: {0},Aggiornamento disponibile: {0}
DEFAULT.UPDATE_CHECK_ERROR,Error searching for updates. Check your internet connection or try later.,Errore durante la ricerca di aggiornamenti. Controlla la tua connessione internet o riprova più tardi.
DEFAULT.UPDATE_WARNING,"Updating, any changes to the core launcher and default modules will be overwritten.

Custom modules may not work anymore if the update brings internal changes.

Do you wish to continue?","Aggiornando, le modifiche effettuate al launcher e ai moduli predefiniti verranno sovrascritte.

I moduli personalizzati potrebbero non funzionare più se l'aggiornamento apporta modifiche interne.

Vuoi continuare?"
DEFAULT.WIFI_CONNECTED,Connected: {0},Connesso: {0}
DEFAULT.WIFI_CONNECTION_FAILED,Failed to connect to {0}.,Connessione a {0} fallita.
DEFAULT.WIFI_CONNECTION_SUCCESS,Successfully connected to {0}!,Connessione a {0} riuscita!
DEFAULT.WIFI_DISCONNECTED,Disconnected,Disconnesso
DEFAULT.WIFI_PASSWORD,Wi-Fi Password,Password Wi-Fi
DEFAULT.WIFI_SETTINGS,Wi-Fi Settings,Impostazioni Wi-Fi
